Name,Symbol,Last,Chg. %,Vol.,Time
Aditya Birla Sun Life Nifty 50,ADIY,28.12,+0.04%,122.05K,10:25:17
Axis Gold,AXGF,66.47,+0.67%,69.32K,10:23:57
Axis Nifty,AISN,266.34,+0.22%,10.77K,10:19:02
Bandhan Nifty 50,BANY,267.74,+0.42%,1.12K,10:18:00
BHARAT 22,ICPR,112.13,-0.62%,216.00K,10:25:24
DSP BR Liquid NS,DSPL,999.99,0.00%,17.97K,10:22:43
Edelweiss Nifty 50,EETS_o.,"22,705.00",0.00%,0,29/09
Edelweiss Nifty Quality 30,EDEE,435.5,0.00%,0,30/09
Goldman Sachs Banking,BBES,525.5,-0.23%,193.47K,10:25:25
Goldman Sachs CNX Nifty Shariah BeES,SBET,562.69,+0.33%,1.82K,10:24:43
Goldman Sachs CPSE,GOMS,91.98,-1.02%,1.59M,10:25:26
Goldman Sachs Hang Seng,HNGS,329.61,+1.47%,112.00K,10:25:11
Goldman Sachs Infrastructure BeES,IFRB,920.48,-0.52%,5.81K,10:24:37
Goldman Sachs Liquid BeES,LBES,999.99,0.00%,603.75K,10:25:21
Goldman Sachs PSU Bank BeES,PSUB,70.62,+0.10%,1.03M,10:25:23
HDFC Gold,HDGO,68.1,+0.58%,443.19K,10:25:24
HDFC Nifty Growth,HDFN,270.94,-0.38%,57.49K,10:25:24
ICICI Prudential Bank,ICIA,52.1,-0.15%,73.71K,10:24:41
ICICI Prudential Gold,IPEG,68.2,+0.63%,409.54K,10:25:22
ICICI Prudential Midcap Select iWIN,ICIU,17.85,+0.73%,99.56K,10:25:23
ICICI Prudential Nifty,ICNI,272.26,+0.11%,75.69K,10:24:58
ICICI Prudential Nifty Next 50,ICIT,74.25,+0.18%,292.28K,10:25:16
ICICI Prudential NV20 iWIN,ICIN,15.46,-0.13%,237.29K,10:24:50
ICICI Prudential Private Banks,ICIV,25.57,-0.12%,619.18K,10:25:17
ICICI Prudential S&P BSE 500,ICSP,38.15,0.00%,0,01/07
ICICI Prudential Sensex iWIN,ICII,906.06,+0.07%,862,10:24:26
IDBI Gold,LICF,"7,175.00",+0.66%,0.19K,10:22:06
Indiabulls NIFTY50,IDTI,202.5,0.00%,0,25/10
Kotak Banking,KOTM,526.93,-0.08%,6.74K,10:23:01
Kotak Gold,KTGF,66.51,+0.61%,119.93K,10:25:21
Kotak Nifty,KOTK,266.55,-0.32%,17.54K,10:25:11
Kotak NV 20 Dividend,KONV,157.74,-0.61%,7.64K,10:23:08
Kotak PSU Bank,KTPU,631.67,-0.69%,11.75K,10:19:05
LIC MF G-SEC Long Term,LICN,26.42,+0.30%,2.14K,10:17:29
LIC MF Nifty 50,LICO,269.32,+0.20%,1.55K,10:22:32
Mirae Asset Nifty 50,MIRA,261.24,+0.03%,445.00K,10:25:23
Motilal Oswal MOSt Shares M50,M50,251.7,0.00%,1.76K,10:25:19
Motilal Oswal MOSt Shares NASDAQ 100,N100,164.99,-0.04%,153.15K,10:24:24
Nippon India ETF Nifty Next 50 Junior BeES,JBES,760.65,+0.14%,157.24K,10:25:24
Nippon India Gold BeES,GBES,66.16,+0.65%,3.73M,10:25:23
Nippon Nifty 50 BeES,NBES,273.8,+0.09%,1.50M,10:25:23
Quantum,QUAN,"2,648.01",+0.19%,239,10:22:33
R Shares Consumption,NCON,130.61,+0.05%,37.87K,10:24:39
R Shares Dividend Opportunities,NDIV,83.4,+0.20%,29.26K,10:25:28
Reliance Nifty Midcap 150,NTFM,216.24,+0.54%,377.92K,10:25:25
SBI Nifty Bank,SBIF,521.56,-0.08%,12.05K,10:23:06
SBI Nifty Next 50,SBIN,753.56,-1.03%,28.97K,10:25:26
SBI Quality,SIET,234,+0.25%,0.54K,10:15:16
UTI Gold,UTGF,66.75,+0.68%,58.06K,10:25:05
UTI Nifty Next 50,UTII,75.88,+0.20%,59.93K,10:25:16